,Fecha,Latitud(S),Longitud(W),Primer Dato(m),Posición del Primer Dato,Profundidad(m),Conductividad Térmica(W/m/K),Gradiente Geotérmico (K/km),Path
AU_1,1969,-20.53,139.48,53.34,126,228.6,3.7599,16.27,../boreholes/raw/huang-2013-AU-1.txt
AU_10,1972,-34.0,151.25,22.86,126,449.58,2.7215,28.159,../boreholes/raw/huang-2013-AU-10.txt
AU_11,1972,-32.55,138.48,100.06,108,376.03,5.4,17.39,../boreholes/raw/huang2016-AU-11.txt
AU_12,1969,-20.55,139.48,53.34,108,297.18,3.83,19.09,../boreholes/raw/huang2016-AU-12.txt
AU_13,1971,-31.45,145.48,103.63,108,297.49,4.44,23.52,../boreholes/raw/huang2016-AU-13.txt
AU_14,1982,-42.2,148.2,20.0,108,600.0,3.37,27.83,../boreholes/raw/huang2016-AU-14.txt
AU_15,1973,-35.6,149.45,46.03,108,262.71,4.4,22.71,../boreholes/raw/huang2016-AU-15.txt
AU_16,1979,-19.68,123.23,30.0,108,300.0,3.5,20.61,../boreholes/raw/huang2016-AU-16.txt
AU_17,1974,-20.32,140.2,30.48,108,548.64,4.15,22.19,../boreholes/raw/huang2016-AU-17.txt
AU_18,1972,-38.13,141.53,53.39,108,353.57,1.55,30.11,../boreholes/raw/huang2016-AU-18.txt
AU_19,1982,-32.8,144.2,20.0,108,260.15,3.48,22.88,../boreholes/raw/huang2016-AU-19.txt
AU_2,1974,-20.11,133.66,30.48,108,304.79,4.08,23.19,../boreholes/raw/huang2016-AU-2.txt
AU_20,1971,-31.2,121.68,45.7,108,304.35,3.24,10.97,../boreholes/raw/huang2016-AU-20.txt
AU_21,1982,-35.08,139.25,29.0,108,246.0,4.56,15.56,../boreholes/raw/huang2016-AU-21.txt
AU_22,1983,-16.47,136.05,50.0,108,300.0,2.17,32.73,../boreholes/raw/huang2016-AU-22.txt
AU_23,1969,-20.53,139.48,91.44,108,388.62,4.86,19.09,../boreholes/raw/huang2016-AU-23.txt
AU_24,1971,-32.25,140.93,29.97,108,321.78,2.67,27.46,../boreholes/raw/huang2016-AU-24.txt
AU_25,1980,-35.33,141.2,60.0,108,250.0,2.25,44.31,../boreholes/raw/huang2016-AU-25.txt
AU_26,1972,-34.42,150.75,24.38,108,237.74,3.14,26.71,../boreholes/raw/huang2016-AU-26.txt
AU_27,1964,-32.33,121.61,30.0,108,442.0,3.14,15.73,../boreholes/raw/huang2016-AU-27.txt
AU_28,1970,-42.0,146.5,30.78,108,314.84,1.97,39.92,../boreholes/raw/huang2016-AU-28.txt
AU_3,1971,-13.03,131.08,22.86,108,241.62,5.08,17.19,../boreholes/raw/huang2016-AU-3.txt
AU_30,1964,-37.05,142.78,25.0,108,291.0,4.52,26.86,../boreholes/raw/huang2016-AU-30.txt
AU_31,1964,-35.3,149.15,30.0,108,226.0,3.43,27.58,../boreholes/raw/huang2016-AU-31.txt
AU_32,1971,-35.07,149.57,45.41,108,284.47,3.37,22.49,../boreholes/raw/huang2016-AU-32.txt
AU_33,1971,-34.07,149.57,47.42,108,264.86,3.42,21.57,../boreholes/raw/huang2016-AU-33.txt
AU_34,1969,-20.53,139.48,60.35,108,363.32,5.02,21.38,../boreholes/raw/huang2016-AU-34.txt
AU_35,1972,-30.61,134.5,30.48,108,303.58,3.17,16.05,../boreholes/raw/huang2016-AU-35.txt
AU_36,1972,-19.66,134.22,36.46,108,264.3,3.72,24.02,../boreholes/raw/huang2016-AU-36.txt
AU_37,1969,-19.45,133.82,35.05,108,350.52,3.6,32.23,../boreholes/raw/huang2016-AU-37.txt
AU_38,1969,-19.45,133.82,76.2,108,350.52,3.6,32.69,../boreholes/raw/huang2016-AU-38.txt
AU_39,1969,-19.45,133.82,60.96,108,350.52,3.6,32.42,../boreholes/raw/huang2016-AU-39.txt
AU_4,1972,-33.2,139.47,99.06,108,307.39,3.49,18.54,../boreholes/raw/huang2016-AU-4.txt
AU_40,1972,-34.31,150.73,45.72,108,312.42,3.94,23.55,../boreholes/raw/huang2016-AU-40.txt
AU_41,1971,-31.63,121.53,44.64,108,302.81,2.88,12.44,../boreholes/raw/huang2016-AU-41.txt
AU_42,1973,-32.98,135.55,57.91,108,304.19,3.79,15.93,../boreholes/raw/huang2016-AU-42.txt
AU_43,1969,-20.53,139.48,76.2,108,320.04,3.56,18.93,../boreholes/raw/huang2016-AU-43.txt
AU_44,1969,-20.53,139.48,45.72,108,243.84,3.83,20.67,../boreholes/raw/huang2016-AU-44.txt
AU_45,1974,-23.63,150.37,76.2,108,304.8,3.5,19.31,../boreholes/raw/huang2016-AU-45.txt
AU_46,1971,-28.48,122.23,19.23,108,212.1,4.41,11.18,../boreholes/raw/huang2016-AU-46.txt
AU_47,1971,-28.5,122.23,28.24,108,318.19,3.86,10.8,../boreholes/raw/huang2016-AU-47.txt
AU_49,1972,-33.2,139.47,91.44,108,297.18,3.45,19.3,../boreholes/raw/huang2016-AU-49.txt
AU_5,1973,-37.83,149.27,34.6,108,242.5,4.9,21.03,../boreholes/raw/huang2016-AU-5.txt
AU_50,1976,-42.83,147.25,15.24,108,274.31,2.3,39.02,../boreholes/raw/huang2016-AU-50.txt
AU_51,1971,-31.23,121.68,22.85,108,295.61,3.61,6.76,../boreholes/raw/huang2016-AU-51.txt
AU_52,1970,-26.42,119.08,50.0,108,450.0,2.5,17.32,../boreholes/raw/huang2016-AU-52.txt
AU_53,1970,-23.28,150.65,40.0,108,230.0,2.8,24.49,../boreholes/raw/huang2016-AU-53.txt
AU_56,1964,-32.33,121.61,30.0,108,594.0,3.14,14.82,../boreholes/raw/huang2016-AU-56.txt
AU_58,1972,-38.38,141.58,22.86,108,304.8,1.43,30.51,../boreholes/raw/huang2016-AU-58.txt
AU_59,1972,-38.38,141.58,30.48,108,304.8,1.43,30.79,../boreholes/raw/huang2016-AU-59.txt
AU_6,1982,-31.95,141.47,20.0,108,480.0,4.27,21.42,../boreholes/raw/huang2016-AU-6.txt
AU_60,1970,-41.75,145.5,30.78,108,209.39,3.04,39.15,../boreholes/raw/huang2016-AU-60.txt
AU_61,1983,-34.42,150.86,39.0,108,300.1,1.9,36.98,../boreholes/raw/huang2016-AU-61.txt
AU_62,1970,-34.0,150.0,22.03,108,259.19,2.5,30.98,../boreholes/raw/huang2016-AU-62.txt
AU_7,1973,-33.93,137.97,22.86,108,312.4,3.59,24.5,../boreholes/raw/huang2016-AU-7.txt
AU_8,1971,-33.93,137.97,54.86,108,212.75,3.59,22.35,../boreholes/raw/huang2016-AU-8.txt
AU_9,1974,-33.93,137.97,22.86,108,312.4,3.59,24.51,../boreholes/raw/huang2016-AU-9.txt
